node number,time,ObjValue
10,0.6889404000003196,180.0
20,3.240549099999953,241.0
30,3.504965899999661,170.0
40,4.434378799999649,328.0
50,13.621856700000535,264.0
60,15.205879500000265,270.0
70,8.276403999999275,485.0
80,10.158574999999473,410.0
90,84.82247950000055,357.0
100,32.95938019999994,494.0
