randomRange,time,ObjValue
1,1.762598599998455,74.99999999999997
5,2.060582500002056,277.0
10,10.76493269999628,594.0
15,14.187599800003227,680.0
20,11.631536200002301,1124.0
25,19.34706510000251,1366.0
30,10.932261399997515,1360.0
35,17.0513890000002,1435.0
40,17.785904099997424,1909.0
45,23.513933099995484,2143.0
50,4.975033299997449,2469.0000000000005
75,4.773190100000647,3742.0
