leaderBudget,time,ObjValue
3,115.41388590000133,1314.0
4,213.0805188999948,1165.0
5,337.8155362000034,1156.0
6,735.667672100004,1156.0
7,1127.233956899996,1156.0
8,1792.962592699987,1156.0
9,2395.028136699999,1156.0
