leaderBudget,time,ObjValue
1,32.885314899998775,1366.0
4,90.1925576999929,1351.0
8,147.59873510000034,1351.0
10,177.10980120000022,1314.0
12,209.4000756000023,1314.0
16,244.0880488000039,1314.0
20,321.0734463999979,1314.0
25,373.9176273999983,1314.0
30,471.39201820000744,1314.0
35,544.0309247999903,1314.0
