uncBudget,time,ObjValue
0,0.28655629999997245,1081.0
1,1.8788102999999978,1150.0000000000005
2,3.016265799999985,1205.0000000000002
3,5.095413899999983,1273.9999999999998
4,9.79352849999998,1326.0
5,19.90666550000003,1366.0
6,33.56869360000002,1391.0
7,70.7483492,1412.0
8,128.7048856,1431.0
9,165.92444980000005,1461.9999999999864
10,422.31507910000005,1470.0
11,626.9948485999998,1484.000000000044
12,1563.1585453000007,1498.0
