comNumber,time,ObjValue
1,0.6885369000010542,443.0
3,14.993800100000954,1039.0
5,20.95336049999969,1366.0
7,33.472235599998385,1697.0
9,67.16897349999999,1984.0
12,121.19298669999989,2810.9999999999995
14,210.39496710000094,3095.0
17,649.9876451000018,3572.0
20,588.3289601999932,4119.0
25,3628.7094682000024,4862.0
30,1512.7074324999994,5858.0
